unixtime,lat,lon,alt,pm1,pm25,pm4,pm10,rh,t,voc,nox,2pm25,2pm10,,0.3um,0.5um,1.0um,2.0um,5.0um,10.0um
1748515201,0,0,0,4.9,5.2,5.2,5.2,40.2,26.3,9,1,7,10,,29494.2,1788.5,711.5,467.3,109.6,38.5
1748515801,0,0,0,4.3,4.9,5.3,5.4,39.4,26.1,36,1,4,6,,26761.5,1573.1,528.8,203.8,28.8,5.8
1748516401,0,0,0,4,4.2,4.2,4.2,38.7,26.1,40,1,3,5,,26676.9,1378.8,488.5,138.5,26.9,3.8
1748517001,0,0,0,4.3,4.5,4.5,4.5,38.3,26.3,114,1,3,5,,27236.5,1459.6,461.5,159.6,7.7,1.9
1748517601,0,0,0,4.7,4.9,4.9,4.9,37.6,26.4,41,1,2,4,,26678.8,1511.5,453.8,190.4,13.5,0
1748518201,0,0,0,4.1,4.4,4.4,4.4,37.6,26.5,40,1,2,4,,26386.5,1484.6,409.6,165.4,9.6,3.8
1748518801,0,0,0,4,4.2,4.2,4.2,37.8,26.6,36,1,5,8,,27430.8,1321.2,461.5,151.9,5.8,7.7
1748519401,0,0,0,4.2,4.4,4.4,4.4,37.6,26.6,40,1,3,5,,28082.7,1436.5,415.4,144.2,23.1,1.9
1748520001,0,0,0,4.9,5.2,5.2,5.2,37.9,26.7,43,1,2,4,,34107.7,1492.3,400,184.6,19.2,3.8
1748520601,0,0,0,4.9,5.1,5.1,5.1,37.6,26.8,39,1,4,6,,30846.2,1538.5,486.5,205.8,30.8,3.8
1748521201,0,0,0,4.6,5.1,5.3,5.4,38,26.8,40,1,4,6,,32538.5,1553.8,478.8,192.3,15.4,1.9
1748521801,0,0,0,4.7,5,5,5,37.8,26.8,38,1,4,6,,31021.2,1486.5,450,165.4,15.4,3.8
1748522401,0,0,0,5.2,5.5,5.5,5.5,37.5,26.9,39,1,3,5,,31748.1,1542.3,376.9,178.8,11.5,1.9
1748523001,0,0,0,4.9,5.1,5.1,5.1,36.7,27,36,1,3,5,,33819.2,1571.2,392.3,159.6,9.6,9.6
1748523601,0,0,0,5.1,5.4,5.4,5.4,36.9,27.1,40,1,3,5,,33036.5,1463.5,367.3,132.7,3.8,3.8
1748524201,0,0,0,5,5.2,5.2,5.2,36.8,27.2,40,1,3,5,,32386.5,1563.5,340.4,140.4,5.8,0
1748524801,0,0,0,4.8,5,5,5,36.6,27.4,40,1,2,4,,31923.1,1340.4,355.8,142.3,3.8,0
1748525401,0,0,0,4.3,4.5,4.5,4.5,36.8,27.4,37,1,2,4,,31138.5,1363.5,300,119.2,7.7,0
1748526001,0,0,0,4.2,4.4,4.4,4.4,36.8,27.4,37,1,3,5,,30117.3,1259.6,284.6,90.4,1.9,0
1748526601,0,0,0,4.1,4.3,4.3,4.3,36.8,27.4,38,1,4,6,,28725,1242.3,300,101.9,7.7,0
1748527201,0,0,0,4.4,4.6,4.6,4.6,37.1,27.4,36,1,4,6,,29023.1,1178.8,305.8,101.9,7.7,1.9
1748527801,0,0,0,4.4,4.6,4.6,4.6,37.6,27.3,38,1,2,4,,30336.5,1313.5,282.7,105.8,9.6,3.8
1748528401,0,0,0,5.1,5.4,5.4,5.4,37.4,27.3,40,1,4,6,,39103.8,2821.2,480.8,80.8,11.5,1.9
1748529001,0,0,0,5.2,5.4,5.4,5.4,37.4,27.4,38,1,5,8,,38075,2576.9,451.9,98.1,11.5,0
1748529601,0,0,0,5.2,5.5,5.5,5.5,36.9,27.4,39,1,3,5,,34090.4,1796.2,286.5,103.8,1.9,0
1748530201,0,0,0,5.5,5.7,5.7,5.7,37.6,27.3,44,1,3,5,,41061.5,1980.8,340.4,96.2,5.8,3.8
1748530801,0,0,0,5.4,5.7,5.7,5.7,37.5,27.3,38,1,3,5,,33890.4,1667.3,350,103.8,11.5,1.9
1748531401,0,0,0,4.7,4.9,4.9,4.9,37.4,27.4,43,1,3,5,,32467.3,1342.3,390.4,76.9,11.5,5.8
1748532001,0,0,0,4.7,4.9,4.9,4.9,37.6,27.3,43,1,3,5,,32026.9,1471.2,259.6,88.5,5.8,0
1748532601,0,0,0,4.8,5,5,5,37.7,27.2,43,1,3,5,,31496.2,1346.2,317.3,71.2,5.8,1.9
1748533201,0,0,0,4.2,4.4,4.4,4.4,37.9,27.1,39,1,2,4,,30738.5,1246.2,284.6,101.9,1.9,0
1748533801,0,0,0,3.9,4.1,4.1,4.1,38,27.1,41,1,2,4,,29975,1175,221.2,84.6,11.5,0
1748534401,0,0,0,4,4.2,4.2,4.2,38.1,27,38,1,2,4,,29530.8,1138.5,215.4,55.8,0,0
1748535001,0,0,0,4.4,4.6,4.6,4.6,38.3,26.9,43,1,2,4,,28975,1151.9,200,76.9,1.9,0
1748535601,0,0,0,4,4.2,4.2,4.2,38.2,26.9,41,1,1,2,,28628.8,1100,192.3,59.6,1.9,1.9
1748536201,0,0,0,4.1,4.3,4.3,4.3,38.4,26.8,41,1,2,4,,28500,1034.6,192.3,40.4,3.8,0
1748536801,0,0,0,3.8,4,4,4,38.4,26.7,39,1,2,4,,28092.3,1042.3,188.5,51.9,1.9,0
1748537401,0,0,0,4.1,4.3,4.3,4.3,38.5,26.7,40,1,2,4,,28976.9,1271.2,188.5,51.9,1.9,0
1748538001,0,0,0,3.9,4.1,4.1,4.1,38.6,26.6,39,1,2,4,,28640.4,1161.5,182.7,46.2,0,0
1748538601,0,0,0,3.7,3.9,3.9,3.9,38.8,26.5,41,1,2,4,,28650,1165.4,165.4,48.1,5.8,0
1748539201,0,0,0,4.3,4.5,4.5,4.5,39,26.5,40,1,2,4,,28930.8,1159.6,173.1,50,1.9,0
1748539801,0,0,0,3.2,3.3,3.3,3.3,39.1,26.4,41,1,2,4,,27921.2,1001.9,176.9,38.5,0,0
1748540401,0,0,0,3.5,3.7,3.7,3.7,39.2,26.4,40,1,1,2,,27959.6,1000,159.6,23.1,0,0
1748541001,0,0,0,3.6,3.8,3.8,3.8,39.3,26.3,38,1,2,4,,26971.2,932.7,159.6,30.8,0,0
1748541601,0,0,0,3.8,4,4,4,39.4,26.3,41,1,2,4,,27213.5,992.3,153.8,36.5,1.9,0
1748542201,0,0,0,3.3,3.4,3.4,3.4,39.5,26.2,40,1,1,2,,26659.6,921.2,161.5,25,0,0
1748542801,0,0,0,3.2,3.4,3.4,3.4,39.5,26.2,38,1,2,4,,26467.3,984.6,126.9,30.8,1.9,0
1748543401,0,0,0,3.7,4.3,4.6,4.8,39.7,26.2,40,1,1,2,,25900,978.8,128.8,30.8,1.9,0
1748544001,0,0,0,3.9,4.1,4.1,4.1,39.7,26.1,40,1,2,4,,25953.8,976.9,134.6,13.5,0,0
1748544601,0,0,0,3.4,4,4.3,4.4,39.7,26.1,41,1,1,2,,25828.8,969.2,146.2,30.8,0,0
1748545201,0,0,0,3.6,3.7,3.7,3.7,39.8,26.1,43,1,2,4,,26032.7,1019.2,117.3,26.9,1.9,0
1748545801,0,0,0,3.7,3.9,3.9,3.9,39.9,26,40,1,2,4,,26130.8,965.4,146.2,15.4,0,0
1748546401,0,0,0,3.6,4,4.2,4.2,39.9,26,40,1,2,4,,25550,1000,105.8,11.5,3.8,0
1748547001,0,0,0,3.3,3.5,3.5,3.5,40,26,40,1,1,2,,25578.8,961.5,92.3,21.2,0,0
1748547601,0,0,0,3.5,3.7,3.7,3.7,40,26,40,1,2,4,,25621.2,1003.8,130.8,17.3,0,0
1748548201,0,0,0,3.1,3.3,3.3,3.3,40.1,25.9,41,1,1,2,,25571.2,896.2,84.6,23.1,0,0
1748548801,0,0,0,3.8,4,4,4,40.1,25.9,41,1,2,4,,25525,896.2,105.8,15.4,0,0
1748549401,0,0,0,3.4,3.9,4.2,4.3,40.1,25.9,39,1,1,2,,25446.2,821.2,107.7,15.4,0,1.9
1748550001,0,0,0,3.5,3.6,3.6,3.6,40.2,25.9,40,1,2,4,,26005.8,884.6,130.8,21.2,0,0
1748550601,0,0,0,3.5,3.7,3.7,3.7,40.2,25.9,41,1,1,2,,25586.5,773.1,82.7,17.3,1.9,0
1748551201,0,0,0,3.2,3.4,3.4,3.4,40.2,25.9,41,1,1,2,,25553.8,913.5,90.4,11.5,0,0
1748551801,0,0,0,3.6,4.1,4.5,4.6,40.2,25.8,40,1,1,2,,25809.6,886.5,125,7.7,0,0
1748552401,0,0,0,3.4,3.6,3.6,3.6,40.3,25.8,38,1,1,2,,0,0,0,0,0,0
1748553001,0,0,0,3.3,3.7,3.9,4,40.5,25.8,41,1,1,2,,26257.7,863.5,103.8,15.4,0,0
1748553601,0,0,0,3,3.2,3.2,3.2,40.7,25.8,39,1,1,2,,26213.5,884.6,101.9,25,1.9,0
1748554201,0,0,0,3.9,4.1,4.1,4.1,40.7,25.7,40,1,1,2,,25848.1,803.8,94.2,17.3,0,0
1748554801,0,0,0,3.8,4,4,4,40.8,25.7,39,1,3,5,,25969.2,873.1,117.3,13.5,0,0
1748555401,0,0,0,3.5,3.6,3.6,3.6,40.9,25.6,42,1,1,2,,26355.8,825,113.5,13.5,0,0
1748556001,0,0,0,3.4,3.5,3.5,3.5,40.9,25.6,40,1,1,2,,25913.5,875,126.9,17.3,1.9,0
1748556601,0,0,0,3.4,3.9,4.1,4.2,40.9,25.6,40,1,2,4,,25700,828.8,109.6,7.7,0,0
1748557201,0,0,0,3.4,3.5,3.5,3.5,41.1,25.6,40,1,1,2,,26111.5,842.3,119.2,9.6,0,0
1748557801,0,0,0,3.6,4.2,4.6,4.7,41.1,25.5,39,1,1,2,,26511.5,813.5,71.2,17.3,0,0
1748558401,0,0,0,3.7,3.9,3.9,3.9,41.1,25.5,40,1,1,2,,26834.6,832.7,94.2,13.5,0,0
1748559001,0,0,0,3.5,3.7,3.7,3.7,41.1,25.5,42,1,2,4,,26026.9,857.7,101.9,17.3,0,0
1748559601,0,0,0,3.6,4.1,4.4,4.6,41.2,25.5,39,1,2,4,,26388.5,838.5,96.2,1.9,0,0
1748560201,0,0,0,3.4,3.6,3.6,3.6,40.8,25.5,40,1,1,2,,25963.5,878.8,92.3,5.8,0,0
1748560801,0,0,0,3.9,4.1,4.1,4.1,40.8,25.5,40,1,2,4,,25475,780.8,86.5,7.7,0,0
1748561401,0,0,0,3.3,3.5,3.5,3.5,40.9,25.5,40,1,2,4,,24850,846.2,107.7,9.6,0,0
1748562001,0,0,0,3.5,3.6,3.6,3.6,40.9,25.5,38,1,1,2,,25001.9,811.5,101.9,11.5,0,0
1748562601,0,0,0,3.3,3.5,3.5,3.5,40.9,25.5,39,1,2,4,,24351.9,876.9,98.1,13.5,0,0
1748563202,0,0,0,3.2,3.4,3.4,3.4,41,25.4,40,1,1,2,,25130.8,921.2,150,5.8,0,0
1748563801,0,0,0,3.6,3.8,3.8,3.8,41,25.4,42,1,,,,24023.1,930.8,119.2,5.8,0,0
1748564401,0,0,0,3.8,4,4,4,41,25.4,40,1,1,2,,24219.2,1053.8,119.2,9.6,0,0
1748565001,0,0,0,3.7,3.8,3.8,3.8,41,25.4,43,1,2,4,,24067.3,936.5,146.2,15.4,0,0
1748565602,0,0,0,3.8,4,4,4,41,25.4,40,1,1,2,,23486.5,971.2,128.8,21.2,0,0
1748566201,0,0,0,3.1,3.2,3.2,3.2,41,25.4,40,1,2,4,,23578.8,1103.8,148.1,13.5,0,0
1748566801,0,0,0,3.2,3.3,3.3,3.3,41,25.4,41,1,1,2,,22792.3,921.2,184.6,19.2,0,0
1748567401,0,0,0,3.1,3.2,3.2,3.2,41,25.3,39,1,1,2,,22450,969.2,155.8,19.2,0,0
1748568001,0,0,0,3.4,3.6,3.6,3.6,41.1,25.3,39,1,1,2,,22248.1,946.2,134.6,13.5,0,0
1748568601,0,0,0,3.5,3.7,3.7,3.7,41.1,25.3,39,1,2,4,,21800,932.7,130.8,13.5,1.9,0
1748569201,0,0,0,3.6,3.8,3.8,3.8,41,25.3,40,1,,,,21411.5,884.6,121.2,11.5,1.9,0
1748569801,0,0,0,3.2,3.3,3.3,3.3,41.1,25.3,43,1,,,,21390.4,890.4,142.3,17.3,0,0
1748570401,0,0,0,3.4,3.6,3.6,3.6,41,25.3,37,1,1,2,,21261.5,869.2,142.3,15.4,0,0
1748571001,0,0,0,3.2,3.4,3.4,3.4,41.1,25.3,40,1,2,4,,20498.1,861.5,130.8,17.3,0,0
1748571601,0,0,0,3,3.1,3.1,3.1,41.1,25.2,40,1,1,2,,19930.8,903.8,134.6,13.5,1.9,0
1748572201,0,0,0,2.9,3,3,3,41.1,25.2,39,1,1,2,,20159.6,917.3,136.5,19.2,0,0
1748572801,0,0,0,2.8,3,3,3,41,25.2,39,1,1,2,,19821.2,825,144.2,9.6,1.9,0
1748573401,0,0,0,2.6,2.8,2.8,2.8,41,25.2,39,1,1,2,,19532.7,830.8,148.1,19.2,3.8,0
1748574001,0,0,0,2.9,3.1,3.1,3.1,41,25.2,40,1,2,4,,18884.6,819.2,169.2,11.5,0,0
1748574601,0,0,0,3.1,3.2,3.2,3.2,41.1,25.2,39,1,1,2,,18953.8,861.5,165.4,25,3.8,0
1748575201,0,0,0,2.9,3.1,3.1,3.1,41.1,25.1,36,1,2,4,,18767.3,828.8,163.5,9.6,0,0
1748575801,0,0,0,3,3.1,3.1,3.1,41.2,25.1,40,1,1,2,,18184.6,761.5,144.2,21.2,1.9,0
1748576401,0,0,0,2.8,3,3,3,41.1,25.1,40,1,1,2,,17959.6,790.4,130.8,11.5,1.9,0
1748577001,0,0,0,2.4,2.6,2.6,2.6,41.1,25.1,40,1,1,2,,18063.5,698.1,119.2,13.5,1.9,0
1748577601,0,0,0,3.1,3.2,3.2,3.2,41,25.1,39,1,1,2,,17919.2,719.2,161.5,15.4,0,0
1748578201,0,0,0,2.8,2.9,2.9,2.9,41,25.2,39,1,1,2,,18011.5,709.6,153.8,19.2,0,0
1748578801,0,0,0,2.6,2.7,2.7,2.7,40.8,25.2,39,1,1,2,,17796.2,834.6,113.5,11.5,3.8,0
1748579401,0,0,0,2.8,2.9,2.9,2.9,40.7,25.3,39,1,2,4,,17796.2,707.7,138.5,23.1,0,0
1748580001,0,0,0,2.8,2.9,2.9,2.9,40.4,25.3,37,1,2,4,,18028.8,1151.9,273.1,26.9,0,0
1748580601,0,0,0,2.6,2.7,2.7,2.7,40.6,25.3,39,1,1,2,,18261.5,1167.3,303.8,28.8,0,0
1748581201,0,0,0,2.7,2.9,3,3.1,40.3,25.4,41,1,2,4,,17330.8,1067.3,228.8,26.9,0,0
1748581801,0,0,0,3,3.1,3.1,3.1,41.2,25.4,41,1,2,4,,17342.3,1213.5,346.2,86.5,9.6,0
1748582401,0,0,0,2.8,3,3,3,42.6,25.5,40,1,2,4,,17353.8,1357.7,421.2,103.8,1.9,5.8
1748583001,0,0,0,2.5,2.6,2.6,2.6,42.5,25.5,40,1,2,4,,16992.3,1153.8,384.6,84.6,7.7,0
1748583601,0,0,0,2.5,2.6,2.6,2.6,42.2,25.5,42,1,,,,16053.8,1144.2,384.6,65.4,13.5,0
1748584201,0,0,0,2.6,2.8,2.8,2.8,41.9,25.5,37,1,1,2,,15686.5,948.1,332.7,80.8,9.6,0
1748584801,0,0,0,2.2,2.3,2.3,2.3,41.8,25.5,41,1,,,,15244.2,921.2,292.3,69.2,0,0
1748585401,0,0,0,2.6,2.8,2.8,2.8,41.8,25.6,39,1,1,2,,16196.2,875,275,113.5,11.5,1.9
1748586001,0,0,0,2.7,3,3.2,3.3,41.1,25.6,41,1,1,2,,15801.9,821.2,221.2,101.9,5.8,3.8
1748586601,0,0,0,2.9,3,3,3,41.1,25.7,40,1,2,4,,16921.2,905.8,255.8,169.2,15.4,3.8
1748587201,0,0,0,2.8,2.9,2.9,2.9,41.7,25.8,37,1,2,4,,18675,880.8,303.8,205.8,21.2,5.8
1748587801,0,0,0,2.5,2.6,2.6,2.6,41.1,25.8,35,1,2,4,,17690.4,811.5,228.8,167.3,15.4,5.8
1748588401,0,0,0,2.9,3,3,3,40.8,25.8,38,1,3,5,,17075,832.7,255.8,153.8,15.4,3.8
1748589001,0,0,0,3.3,3.5,3.5,3.5,40.6,25.9,39,1,3,5,,20673.1,1009.6,255.8,140.4,9.6,7.7
1748589601,0,0,0,4.1,4.3,4.3,4.3,41,26,37,1,4,6,,26071.2,1492.3,357.7,186.5,21.2,11.5
1748590201,0,0,0,4.6,4.9,4.9,4.9,41,26.1,39,1,3,5,,30507.7,1769.2,363.5,194.2,23.1,15.4
1748590801,0,0,0,4.8,5,5,5,41,26.2,41,1,3,5,,28682.7,1644.2,415.4,178.8,21.2,5.8
1748591401,0,0,0,3.6,3.9,4,4,40.2,26.3,39,1,3,5,,24001.9,1271.2,309.6,140.4,21.2,3.8
1748592001,0,0,0,3.4,3.7,3.8,3.8,39.6,26.3,44,1,2,4,,22205.8,1190.4,292.3,175,7.7,3.8
1748592601,0,0,0,3.5,3.7,3.7,3.7,39.6,26.3,38,1,2,4,,20336.5,965.4,276.9,115.4,11.5,1.9
1748593201,0,0,0,3,3.1,3.1,3.1,39.3,26.3,38,1,2,4,,21138.5,1132.7,334.6,150,7.7,5.8
1748593801,0,0,0,3.6,3.8,3.8,3.8,39.1,26.3,38,1,3,5,,20871.2,1076.9,357.7,180.8,21.2,3.8
1748594401,0,0,0,3.8,4,4,4,39.7,26.3,40,1,2,4,,22723.1,1121.2,319.2,163.5,11.5,3.8
1748595001,0,0,0,3.4,3.6,3.6,3.6,39.9,26.3,29,1,2,4,,23071.2,1123.1,344.2,157.7,26.9,7.7
1748595601,0,0,0,3.5,3.6,3.6,3.6,40,26.4,36,1,3,5,,23144.2,1059.6,300,176.9,13.5,0
1748596201,0,0,0,3.6,3.8,3.8,3.8,39.8,26.4,37,1,2,4,,19811.5,940.4,273.1,90.4,7.7,1.9
1748596801,0,0,0,3.1,3.2,3.2,3.2,39.8,26.4,42,1,,,,19615.4,911.5,225,105.8,5.8,0
1748597401,0,0,0,2.9,3,3,3,39.7,26.5,40,1,2,4,,18400,826.9,255.8,92.3,7.7,1.9
1748598001,0,0,0,3,3.5,3.9,4,39.6,26.5,29,1,2,4,,18582.7,838.5,259.6,67.3,17.3,1.9
1748598601,0,0,0,3,3.1,3.1,3.1,39.4,26.5,35,1,3,5,,18682.7,767.3,198.1,80.8,3.8,1.9
1748599201,0,0,0,3.2,3.4,3.4,3.4,39.2,26.5,48,1,1,2,,18403.8,819.2,192.3,82.7,5.8,1.9
1748599801,0,0,0,3.2,3.3,3.3,3.3,38.7,26.4,41,1,,,,21878.8,878.8,176.9,71.2,7.7,0
1748600401,0,0,0,3,3.1,3.1,3.1,39.5,26.4,49,1,1,2,,23596.2,934.6,242.3,100,13.5,7.7
1748601001,0,0,0,2.9,3.1,3.1,3.1,39.8,26.4,38,1,3,5,,23138.5,944.2,209.6,105.8,11.5,3.8
1748601601,0,0,0,3.1,3.3,3.3,3.3,39.3,26.5,35,1,2,4,,21913.5,907.7,226.9,78.8,13.5,0
1748602201,0,0,0,3,3.2,3.2,3.2,39.1,26.7,39,1,2,4,,21296.2,834.6,213.5,98.1,5.8,1.9
1748602801,0,0,0,3.4,3.5,3.5,3.5,38.8,26.7,39,1,2,4,,20948.1,836.5,200,69.2,1.9,1.9
1748603401,0,0,0,3.3,3.5,3.5,3.5,39.4,26.8,37,1,2,4,,20575,753.8,186.5,105.8,9.6,9.6
1748604001,0,0,0,3.4,3.5,3.5,3.5,38.7,26.8,38,1,1,2,,21175,780.8,176.9,80.8,5.8,3.8
1748604601,0,0,0,3,3.1,3.1,3.1,38.6,26.8,38,1,2,4,,20636.5,863.5,196.2,57.7,7.7,1.9
1748605202,0,0,0,4.6,4.8,4.8,4.8,38.5,27,40,1,4,6,,29086.5,1571.2,257.7,103.8,7.7,1.9
1748605801,0,0,0,8.6,9.4,9.7,9.9,38.7,27.3,39,1,7,10,,50936.5,5321.2,730.8,130.8,36.5,13.5
1748606401,0,0,0,17.7,18.7,18.8,18.8,38.5,27.5,33,1,11,16,,100494.2,10126.9,1138.5,132.7,17.3,0
1748607001,0,0,0,5.9,6.1,6.1,6.1,39.2,27.6,36,1,3,5,,34678.8,2553.8,361.5,103.8,19.2,11.5
1748607601,0,0,0,4,4.2,4.2,4.2,39.6,27.6,40,1,3,5,,30153.8,1573.1,261.5,107.7,3.8,7.7
1748608201,0,0,0,4.4,4.6,4.6,4.6,39.1,27.5,39,1,3,5,,29796.2,1436.5,265.4,101.9,9.6,5.8
1748608801,0,0,0,3.7,3.9,3.9,3.9,39.6,27.4,34,1,2,4,,28619.2,1628.8,311.5,115.4,17.3,1.9
1748609401,0,0,0,4.2,4.4,4.4,4.4,40.4,27.3,36,1,4,6,,30190.4,1565.4,340.4,111.5,17.3,5.8
1748610001,0,0,0,4.4,4.6,4.6,4.6,39,27.3,40,1,3,5,,28580.8,1523.1,340.4,94.2,9.6,1.9
1748610601,0,0,0,5.7,6,6,6,38.9,27.1,42,1,4,6,,34355.8,2548.1,555.8,113.5,9.6,1.9
1748611201,0,0,0,9.9,10.3,10.3,10.3,40,27.1,31,1,4,6,,58059.6,3040.4,519.2,173.1,30.8,3.8
1748611801,0,0,0,18.5,19.4,19.4,19.4,40.7,27.1,32,1,8,12,,85092.3,6628.8,867.3,157.7,17.3,5.8
1748612401,0,0,0,6.2,6.5,6.5,6.5,40.1,27.1,39,1,3,5,,38461.5,2665.4,569.2,184.6,11.5,9.6
1748613001,0,0,0,5.2,5.5,5.5,5.5,39.9,27,40,1,4,6,,32988.5,2940.4,648.1,180.8,15.4,7.7
1748613601,0,0,0,4.5,5.1,5.4,5.6,39.3,27.1,40,1,4,6,,27015.4,2021.2,544.2,140.4,7.7,5.8
1748614201,0,0,0,4.3,4.5,4.5,4.5,39.5,26.9,40,1,4,6,,28725,2492.3,671.2,184.6,7.7,1.9
1748614801,0,0,0,4.7,4.9,4.9,4.9,39.9,26.9,38,1,3,5,,28896.2,2438.5,651.9,176.9,7.7,5.8
1748615401,0,0,0,4.1,4.4,4.5,4.5,39.7,26.8,39,1,3,5,,25590.4,2213.5,557.7,161.5,11.5,1.9
1748616002,0,0,0,3.7,4.1,4.3,4.4,39.7,26.7,39,1,2,4,,23986.5,2169.2,488.5,134.6,3.8,1.9
1748616601,0,0,0,3.3,3.4,3.4,3.4,39.6,26.6,39,1,3,5,,23553.8,2017.3,542.3,111.5,3.8,0
1748617201,0,0,0,3.4,3.6,3.6,3.6,39.7,26.6,39,1,2,4,,23980.8,2140.4,546.2,125,7.7,0
1748617801,0,0,0,3.8,4,4,4,40.3,26.5,42,1,5,8,,25828.8,2392.3,563.5,115.4,3.8,1.9
1748618401,0,0,0,3.4,3.7,3.8,3.9,40.5,26.5,39,1,2,4,,24288.5,2186.5,559.6,123.1,7.7,1.9
1748619001,0,0,0,4.3,4.5,4.5,4.5,40.6,26.4,40,1,4,6,,26211.5,2890.4,646.2,126.9,5.8,1.9
1748619601,0,0,0,3.8,4.1,4.3,4.3,40.9,26.3,40,1,3,5,,27375,3417.3,865.4,150,7.7,0
1748620201,0,0,0,4.6,5.2,5.4,5.5,41,26.3,41,1,4,6,,25398.1,3086.5,901.9,138.5,3.8,0
1748620801,0,0,0,4,4.2,4.2,4.2,41.1,26.2,38,1,4,6,,25140.4,3215.4,857.7,126.9,5.8,1.9
1748621401,0,0,0,3.9,4.2,4.2,4.3,41.2,26.2,40,1,3,5,,25100,3217.3,917.3,148.1,11.5,0
1748622001,0,0,0,3.8,4.1,4.2,4.2,41.3,26.1,40,1,5,8,,24753.8,3338.5,832.7,107.7,0,0
1748622601,0,0,0,3.6,3.9,4.1,4.1,41.4,26.1,41,1,3,5,,23851.9,3067.3,778.8,132.7,0,1.9
1748623201,0,0,0,3.7,3.8,3.8,3.8,41.5,26.1,40,1,3,5,,23734.6,2898.1,732.7,103.8,3.8,0
1748623801,0,0,0,3.8,4.2,4.4,4.5,41.5,26,40,1,3,5,,23419.2,2642.3,609.6,80.8,0,0
1748624401,0,0,0,3.8,4.3,4.6,4.8,41.4,26,40,1,3,5,,22067.3,2194.2,526.9,94.2,3.8,0
1748625001,0,0,0,3.1,3.3,3.3,3.3,41.4,26,41,1,2,4,,21636.5,2130.8,548.1,51.9,5.8,0
1748625601,0,0,0,3.5,3.8,3.9,3.9,41.5,26,41,1,3,5,,21000,1980.8,428.8,82.7,3.8,0
1748626201,0,0,0,2.7,2.9,2.9,2.9,41.5,25.9,39,1,2,4,,20269.2,1790.4,398.1,63.5,1.9,0
1748626801,0,0,0,3.2,3.5,3.7,3.8,41.5,25.9,40,1,3,5,,19805.8,1648.1,371.2,71.2,0,0
1748627402,0,0,0,2.9,3,3,3,41.6,25.9,41,1,2,4,,19017.3,1515.4,355.8,88.5,0,0
1748628001,0,0,0,2.9,3.1,3.1,3.1,41.6,25.9,41,1,2,4,,18698.1,1507.7,325,67.3,1.9,0
1748628601,0,0,0,2.1,2.2,2.2,2.2,41.7,25.9,40,1,2,4,,18428.8,1413.5,284.6,44.2,1.9,0
1748629202,0,0,0,2.7,3,3.1,3.1,41.7,25.8,41,1,1,2,,18105.8,1307.7,265.4,50,1.9,0
1748629801,0,0,0,2.3,2.4,2.4,2.4,41.7,25.8,42,1,1,2,,17830.8,1246.2,282.7,34.6,1.9,0
1748630401,0,0,0,2.5,2.6,2.6,2.6,41.7,25.8,41,1,2,4,,17338.5,1209.6,236.5,40.4,1.9,0
1748631002,0,0,0,2.2,2.3,2.3,2.3,41.8,25.8,41,1,1,2,,17336.5,1182.7,238.5,28.8,3.8,0
1748631601,0,0,0,2.4,2.5,2.5,2.5,41.8,25.8,42,1,,,,16876.9,1107.7,219.2,50,1.9,0
1748632201,0,0,0,1.9,2.2,2.3,2.4,41.9,25.8,41,1,1,2,,16613.5,1111.5,203.8,44.2,0,0
1748632801,0,0,0,2.5,2.6,2.6,2.6,41.9,25.7,40,1,2,4,,16548.1,1030.8,255.8,53.8,1.9,0
1748633401,0,0,0,2.1,2.2,2.2,2.2,41.9,25.7,37,1,1,2,,16192.3,1057.7,211.5,44.2,1.9,0
1748634001,0,0,0,2.5,2.6,2.6,2.6,42,25.7,40,1,1,2,,15961.5,982.7,242.3,42.3,0,0
1748634601,0,0,0,2.4,2.5,2.5,2.5,42,25.7,41,1,1,2,,15855.8,953.8,236.5,36.5,0,0
1748635201,0,0,0,2.2,2.3,2.3,2.3,42,25.7,37,1,1,2,,15990.4,936.5,175,38.5,0,0
1748635801,0,0,0,2.2,2.3,2.3,2.3,42,25.6,40,1,1,2,,15621.2,1036.5,209.6,38.5,0,0
1748636401,0,0,0,2,2.1,2.1,2.1,42,25.6,40,1,1,2,,15459.6,957.7,188.5,38.5,0,0
1748637001,0,0,0,2.4,2.5,2.5,2.5,42,25.6,40,1,2,4,,15159.6,901.9,171.2,15.4,1.9,0
1748637601,0,0,0,2.1,2.2,2.2,2.2,42.1,25.6,41,1,1,2,,15184.6,928.8,171.2,21.2,0,0
1748638201,0,0,0,2,2.2,2.3,2.4,42.2,25.6,40,1,1,2,,15394.2,832.7,180.8,30.8,0,0
1748638801,0,0,0,2.3,2.4,2.4,2.4,42.4,25.6,38,1,1,2,,0,0,0,0,0,0
1748639401,0,0,0,2.5,2.6,2.6,2.6,42.5,25.5,40,1,1,2,,15763.5,919.2,148.1,38.5,0,0
1748640001,0,0,0,1.8,2,2.1,2.2,42.5,25.5,40,1,2,4,,15726.9,886.5,165.4,32.7,0,0
1748640601,0,0,0,2.3,2.4,2.4,2.4,42.5,25.5,36,1,1,2,,15575,894.2,157.7,30.8,0,0
1748641201,0,0,0,2.6,2.9,3.1,3.2,42.6,25.4,41,1,1,2,,15757.7,1019.2,136.5,38.5,3.8,0
1748641801,0,0,0,2.1,2.4,2.6,2.7,42.7,25.4,40,1,1,2,,16101.9,909.6,165.4,21.2,1.9,0
